"Unit_ID","Unit_Code","Subunit_Code","Network"
"ACAD_Isle_au_Haut","ACAD","Isle_au_Haut","NETN"
"ACAD_MDI","ACAD","MDI","NETN"
"ACAD_Schoodic","ACAD","Schoodic","NETN"
"APCO","APCO",NA,"MIDN"
"APPA_0103000202","APPA","0103000202","APPA"
"APPA_0103000304","APPA","0103000304","APPA"
"APPA_0104000101","APPA","0104000101","APPA"
"APPA_0108010304","APPA","0108010304","APPA"
"APPA_0108010703","APPA","0108010703","APPA"
"APPA_0207000508","APPA","0207000508","APPA"
"APPA_0306010201","APPA","0306010201","APPA"
"APPA_0313000105","APPA","0313000105","APPA"
"APPA_0601010203","APPA","0601010203","APPA"
"APPA_0601010514","APPA","0601010514","APPA"
"APPA_0601020101","APPA","0601020101","APPA"
"APPA_0601020201","APPA","0601020201","APPA"
"ASIS","ASIS",NA,"MIDN"
"BOWA","BOWA",NA,"MIDN"
"COLO_JAMES","COLO","Jamestown","MIDN"
"COLO_YORK","COLO","Yorktown","MIDN"
"FRSP_CHWILD","FRSP","CHWILD","MIDN"
"FRSP_FRED","FRSP","FRED","MIDN"
"FRSP_SPOT","FRSP","SPOT","MIDN"
"GETT","GETT",NA,"MIDN"
"GEWA","GEWA",NA,"MIDN"
"HOFU","HOFU",NA,"MIDN"
"MABI","MABI",NA,"NETN"
"MIMA_Battle_Road","MIMA","Battle_Road","NETN"
"MIMA_North_Bridge","MIMA","North_Bridge","NETN"
"MORR_Jockey_Hollow","MORR","Jockey_Hollow","NETN"
"MORR_NJ_Brigade","MORR","NJ_Brigade","NETN"
"PETE_EAST","PETE","EAST","MIDN"
"PETE_FIVE","PETE","FIVE","MIDN"
"RICH","RICH",NA,"MIDN"
"ROVA_ELRO","ROVA","ELRO","NETN"
"ROVA_HOFR_East","ROVA","HOFR_East","NETN"
"ROVA_HOFR_West","ROVA","HOFR_West","NETN"
"ROVA_VAMA","ROVA","VAMA","NETN"
"SAGA","SAGA",NA,"NETN"
"SAHI","SAHI",NA,"MIDN"
"SARA","SARA",NA,"NETN"
"THST","THST",NA,"MIDN"
"VAFO","VAFO",NA,"MIDN"
"WEFA","WEFA",NA,"NETN"
